Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-09-24,4.2167,4.235,4.2141,4.2225
2015-09-25,4.2218,4.2309,4.2074,4.2281
2015-09-28,4.2243,4.2447,4.2196,4.242
2015-09-29,4.2421,4.2515,4.232,4.2372
2015-09-30,4.23666,4.25049,4.22738,4.24658
2015-10-01,4.2465,4.2574,4.2358,4.2481
2015-10-02,4.2479,4.2577,4.2426,4.2478
2015-10-05,4.2502,4.2532,4.2362,4.2448
2015-10-06,4.2451,4.2524,4.2367,4.2399
2015-10-07,4.2396,4.2421,4.2195,4.2316
2015-10-08,4.2316,4.2434,4.2189,4.222
2015-10-09,4.2219,4.2274,4.2087,4.2201
2015-10-12,4.2205,4.2272,4.2149,4.2227
2015-10-13,4.2227,4.2423,4.2204,4.2338
2015-10-14,4.2338,4.2377,4.2261,4.227
2015-10-15,4.2272,4.2369,4.2213,4.2325
2015-10-16,4.2326,4.242,4.2283,4.2364
2015-10-19,4.2358,4.2482,4.2313,4.2464
2015-10-20,4.2466,4.2621,4.2429,4.2621
2015-10-21,4.262,4.293,4.2582,4.2913
2015-10-22,4.2914,4.2955,4.2478,4.2517
2015-10-23,4.2518,4.2661,4.2407,4.2493
2015-10-26,4.2707,4.2798,4.251,4.2758
2015-10-27,4.2758,4.2922,4.266,4.2821
2015-10-28,4.2823,4.2955,4.28,4.2849
2015-10-29,4.285,4.2864,4.2676,4.2801
2015-10-30,4.28009,4.28032,4.24317,4.24994
2015-11-02,4.2467,4.2638,4.242,4.2558
2015-11-03,4.2558,4.2614,4.2416,4.2512
2015-11-04,4.2512,4.2564,4.2237,4.2444
2015-11-05,4.2444,4.2546,4.2281,4.2516
2015-11-06,4.2516,4.2794,4.2349,4.2693
2015-11-09,4.2665,4.276,4.25,4.2541
2015-11-10,4.254,4.2579,4.2355,4.2356
2015-11-11,4.236,4.2449,4.2075,4.2175
2015-11-12,4.2175,4.237,4.2134,4.2347
2015-11-13,4.2346,4.2512,4.2258,4.2411
2015-11-16,4.2417,4.2521,4.2345,4.2452
2015-11-17,4.2452,4.2533,4.2402,4.2451
2015-11-18,4.245,4.264,4.2439,4.2482
2015-11-19,4.2468,4.2556,4.2408,4.2522
2015-11-20,4.252,4.2552,4.237,4.2405
2015-11-23,4.2427,4.2595,4.2362,4.253
2015-11-24,4.2531,4.2649,4.2496,4.2615
2015-11-25,4.2614,4.2729,4.2567,4.2688
2015-11-26,4.2688,4.2781,4.267,4.2744
2015-11-27,4.2744,4.2794,4.2618,4.2713
2015-11-30,4.26785,4.28026,4.26275,4.26882
2015-12-01,4.2691,4.28631,4.26271,4.28148
2015-12-02,4.28155,4.28289,4.26979,4.27806
2015-12-03,4.27801,4.341,4.24885,4.33214
2015-12-04,4.3323,4.3368,4.2913,4.3145
2015-12-07,4.3066,4.3242,4.3051,4.3226
2015-12-08,4.3227,4.3451,4.3211,4.3438
2015-12-09,4.3437,4.3493,4.3364,4.3484
2015-12-10,4.3484,4.35069,4.33726,4.34757
2015-12-11,4.34753,4.36635,4.34179,4.3653
2015-12-14,4.3666,4.3717,4.3482,4.3666
2015-12-15,4.3666,4.3699,4.306,4.3206
2015-12-16,4.3204,4.33546,4.28975,4.30087
2015-12-17,4.30106,4.30695,4.27876,4.30143
2015-12-18,4.30146,4.30423,4.25771,4.27352
2015-12-21,4.26895,4.27639,4.23228,4.2535
2015-12-22,4.2535,4.25773,4.2324,4.24882
2015-12-23,4.24882,4.25212,4.23694,4.24043
2015-12-24,4.24052,4.2529,4.23167,4.23886
2015-12-28,4.24537,4.2517,4.23497,4.24497
2015-12-29,4.24517,4.25036,4.2288,4.23505
2015-12-30,4.2375,4.25859,4.22993,4.25709
2015-12-31,4.25713,4.29404,4.25018,4.26333
2016-01-04,4.27296,4.30279,4.25823,4.29871
2016-01-05,4.29859,4.31993,4.2973,4.30676
2016-01-06,4.3069,4.35582,4.30551,4.35044
2016-01-07,4.3499,4.35853,4.32703,4.3459
2016-01-08,4.34575,4.36593,4.33151,4.3639
2016-01-11,4.36064,4.36836,4.34914,4.35167
2016-01-12,4.35113,4.37666,4.35087,4.36065
2016-01-13,4.36065,4.3618,4.33119,4.35426
2016-01-14,4.35371,4.3951,4.3436,4.39452
2016-01-15,4.39454,4.49339,4.38764,4.48024
2016-01-18,4.48414,4.49217,4.45306,4.4601
2016-01-19,4.46015,4.46307,4.43184,4.44904
2016-01-20,4.44904,4.50463,4.4487,4.49696
2016-01-21,4.49646,4.51309,4.46948,4.49217
2016-01-22,4.49212,4.49285,4.44444,4.45929
2016-01-25,4.46103,4.48168,4.45442,4.47802
2016-01-26,4.47802,4.50107,4.44379,4.44782
2016-01-27,4.44795,4.48496,4.44622,4.48303
2016-01-28,4.4827,4.48439,4.44445,4.45443
2016-01-29,4.45522,4.46309,4.41542,4.41985
2016-02-01,4.42675,4.43291,4.3874,4.39946
2016-02-02,4.39946,4.42242,4.37489,4.42179
2016-02-03,4.42159,4.4301,4.38577,4.4168
2016-02-04,4.4186,4.42795,4.40283,4.42252
2016-02-05,4.4226,4.42693,4.39827,4.40893
2016-02-08,4.41439,4.45621,4.39955,4.44757
2016-02-09,4.44776,4.47307,4.4393,4.44818
2016-02-10,4.44831,4.44831,4.40043,4.40564
2016-02-11,4.40545,4.46605,4.40218,4.42354
2016-02-12,4.4236,4.4268,4.38829,4.39712
2016-02-15,4.39799,4.40706,4.39054,4.39533
2016-02-16,4.39543,4.41791,4.39278,4.40337
2016-02-17,4.40327,4.41711,4.38561,4.3973
2016-02-18,4.39734,4.40071,4.37312,4.39478
2016-02-19,4.39467,4.39806,4.36907,4.36962
2016-02-22,4.37272,4.38963,4.35704,4.35843
2016-02-23,4.35838,4.38289,4.35694,4.382
2016-02-24,4.38198,4.38789,4.36171,4.37841
2016-02-25,4.37841,4.37897,4.35156,4.3558
2016-02-26,4.3549,4.37129,4.35106,4.36845
2016-02-29,4.36844,4.37804,4.34038,4.35099
2016-03-01,4.35035,4.35139,4.32672,4.32962
2016-03-02,4.32966,4.33733,4.31584,4.32279
2016-03-03,4.32279,4.35256,4.31438,4.33772
2016-03-04,4.33866,4.3478,4.31333,4.32118
2016-03-07,4.32739,4.33665,4.31582,4.33202
2016-03-08,4.3319,4.34124,4.31852,4.32346
2016-03-09,4.3239,4.32684,4.30738,4.31883
2016-03-10,4.31876,4.34664,4.28707,4.33824
2016-03-11,4.33781,4.33889,4.28895,4.29214
2016-03-14,4.29513,4.306,4.27288,4.27854
2016-03-15,4.27859,4.30147,4.2771,4.28924
2016-03-16,4.28927,4.31244,4.28622,4.28926
2016-03-17,4.28926,4.3055,4.26618,4.27618
2016-03-18,4.27618,4.27913,4.25612,4.2628
2016-03-21,4.26439,4.26846,4.25362,4.25963
2016-03-22,4.25963,4.26927,4.25374,4.25648
2016-03-23,4.25659,4.26358,4.25009,4.26328
2016-03-24,4.26311,4.28511,4.25603,4.26898
2016-03-28,4.2641,4.26415,4.24101,4.25176
