Results of simulation:
t	Alpha	Beta	Min RMSE
232	0.53	0.10	0.02
233	0.68	0.38	0.02
234	0.32	0.11	0.02
235	0.84	0.06	0.02
236	0.71	0.55	0.03
237	0.67	0.37	0.03
238	0.91	0.22	0.04
239	0.67	0.20	0.04
240	0.48	0.04	0.04
241	0.62	0.09	0.04
242	0.89	0.31	0.05
243	0.76	0.19	0.05
244	0.95	0.03	0.06
245	0.78	0.28	0.07
246	0.80	0.37	0.07
247	0.90	0.05	0.07
248	0.59	0.36	0.07
249	0.18	0.65	0.07
250	0.66	0.00	0.05
251	0.44	0.08	0.05
252	0.61	0.47	0.05
253	0.58	0.35	0.06
254	0.79	0.17	0.06
255	0.90	0.17	0.06
256	0.46	0.16	0.06
257	0.51	0.11	0.05
258	0.89	0.02	0.05
259	0.45	0.01	0.04
260	0.77	0.20	0.04
261	0.14	0.42	0.03
262	0.40	0.12	0.03
263	1.00	0.12	0.04
264	0.63	0.08	0.04
265	0.25	0.10	0.03
266	0.65	0.66	0.04
267	0.85	0.08	0.04
268	0.56	0.01	0.03
269	0.56	0.16	0.04
270	0.74	0.03	0.04
271	0.66	0.10	0.04
272	0.09	0.36	0.03
273	0.82	0.01	0.03
274	0.44	0.01	0.03
275	0.63	0.71	0.03
276	0.98	0.01	0.03
277	0.53	0.20	0.03
278	0.83	0.25	0.04
279	0.79	0.39	0.05
280	0.49	0.05	0.05
281	0.74	0.22	0.04
282	0.98	0.16	0.05
283	0.82	0.13	0.05
284	0.78	0.03	0.05
285	0.86	0.19	0.05
286	0.53	0.21	0.05
287	0.50	0.33	0.06
288	0.79	0.08	0.06
289	0.07	0.48	0.05
290	0.44	0.24	0.04
291	0.74	0.55	0.05
292	0.69	0.02	0.05
293	0.79	0.20	0.05
294	0.86	0.28	0.05
295	0.78	0.16	0.05
296	0.89	0.20	0.06
297	0.77	0.24	0.07
298	0.89	0.28	0.10
299	0.77	0.09	0.10
300	0.83	0.08	0.09
301	0.85	0.77	0.12
302	0.89	0.11	0.11
303	0.67	0.05	0.11
304	0.90	0.04	0.10
305	0.79	0.27	0.10
306	0.99	0.02	0.10
307	0.94	0.04	0.10
308	0.66	0.19	0.10
309	0.49	0.32	0.10
310	0.95	0.12	0.10
311	0.50	0.45	0.12
312	0.96	0.09	0.13
313	0.60	0.34	0.14
314	1.00	0.13	0.14
315	0.96	0.09	0.13
316	0.51	0.22	0.11
317	0.58	0.33	0.11
318	0.76	0.02	0.11
319	0.80	0.63	0.13
320	0.50	0.17	0.11
321	0.87	0.11	0.10
322	0.73	0.38	0.11
323	0.59	0.20	0.10
324	0.92	0.21	0.10
325	0.61	0.10	0.09
326	0.85	0.08	0.09
327	0.85	0.34	0.10
328	0.54	0.26	0.10
329	0.62	0.02	0.09
330	0.71	0.01	0.09
331	0.79	0.23	0.09
332	0.76	0.09	0.09
333	0.79	0.33	0.10
334	0.81	0.29	0.09
335	0.56	0.08	0.07
336	0.55	0.31	0.07
337	0.35	0.42	0.07
338	0.96	0.01	0.08
339	0.71	0.21	0.08
340	0.96	0.30	0.08
341	0.98	0.06	0.07
342	0.82	0.26	0.08
343	0.78	0.23	0.08
344	0.72	0.26	0.07
345	0.67	0.05	0.07
346	0.68	0.22	0.07
347	0.81	0.02	0.07
348	0.75	0.21	0.07
349	0.33	0.35	0.08
350	0.49	0.06	0.07
351	0.87	0.15	0.06
352	0.63	0.06	0.06
353	0.84	0.27	0.06
354	0.75	0.08	0.05
355	0.31	0.18	0.04
356	0.65	0.28	0.04
357	0.17	0.33	0.04
358	0.59	0.14	0.04
359	0.85	0.27	0.04
360	0.97	0.26	0.05
361	0.95	0.14	0.05
362	0.09	0.67	0.04
363	0.97	0.16	0.04
364	0.56	0.12	0.04
365	0.80	0.09	0.04
366	0.70	0.35	0.05
367	0.81	0.28	0.05
368	0.45	0.10	0.05
369	0.02	0.76	0.04
370	0.45	0.26	0.04
371	0.63	0.11	0.04
372	0.78	0.23	0.04
373	0.44	0.17	0.04
374	0.54	0.26	0.04
375	0.22	0.06	0.04
376	0.67	0.41	0.04
377	0.63	0.09	0.04
378	0.74	0.12	0.04
379	0.46	0.43	0.04
380	0.98	0.10	0.04
381	0.79	0.27	0.05
382	0.74	0.02	0.06
383	0.84	0.17	0.05
384	0.51	0.19	0.05
385	0.46	0.24	0.04
386	0.65	0.17	0.04
387	0.09	0.06	0.04
388	0.36	0.11	0.03
389	0.59	0.50	0.03
390	0.70	0.19	0.03
391	0.55	0.01	0.03
392	0.17	0.11	0.02
393	0.99	0.02	0.02
394	0.63	0.91	0.01
395	0.79	0.35	0.02
396	0.73	0.82	0.01
397	0.91	0.71	0.01
398	0.02	0.67	0.00
399	0.65	0.64	0.01
400	0.93	0.58	0.02
401	0.06	0.91	0.01
402	0.51	0.92	0.01
403	0.46	0.74	0.01
404	0.63	0.86	0.01
405	0.12	0.11	0.01
406	0.12	0.40	0.01
407	0.79	0.34	0.01
408	0.53	0.20	0.01
409	0.60	0.98	0.01
410	0.67	0.96	0.02
411	0.72	0.29	0.02
412	0.55	0.31	0.02
413	0.73	0.91	0.02
414	0.50	0.73	0.02
415	0.20	0.83	0.01
416	0.77	0.42	0.01
417	0.18	0.99	0.01
418	0.74	0.58	0.02
419	0.93	0.12	0.01
420	0.79	0.74	0.01
421	0.97	0.93	0.02
422	0.91	0.71	0.01
423	0.53	0.53	0.01
424	0.98	0.87	0.02
425	0.95	0.48	0.01
426	0.91	0.66	0.01
427	0.82	0.75	0.02
428	0.98	0.63	0.03
429	0.43	0.12	0.02
430	0.92	0.81	0.02
431	0.89	0.72	0.02
432	0.70	0.21	0.02
433	0.90	0.08	0.02
434	0.89	0.97	0.03
435	0.75	0.04	0.03
436	0.82	0.00	0.02
437	0.99	0.12	0.03
438	0.76	0.44	0.03
439	0.59	0.16	0.03
440	0.58	0.10	0.02
441	0.72	0.58	0.03
442	0.77	0.24	0.02
443	0.61	0.52	0.02
444	0.22	0.06	0.01
445	0.85	0.54	0.02
446	0.56	0.67	0.03
447	0.67	0.22	0.02
448	0.93	0.43	0.02
449	0.83	0.47	0.02
450	0.96	0.93	0.02
451	1.00	0.65	0.02
452	0.68	0.04	0.01
453	0.93	0.37	0.02
454	0.68	0.12	0.01
455	0.92	0.99	0.02
456	0.40	0.83	0.01
457	0.88	0.48	0.02
458	0.82	0.86	0.02
459	0.72	0.62	0.01
460	0.49	0.90	0.01
461	0.76	0.94	0.01
462	0.76	0.65	0.01
463	0.81	0.56	0.02
464	0.50	0.95	0.01
465	0.47	0.63	0.01
466	0.47	0.93	0.01
467	0.16	0.83	0.01
468	0.32	0.02	0.01
469	0.73	0.82	0.01
470	0.62	0.83	0.01
471	0.78	0.74	0.02
472	0.78	0.64	0.02
473	0.65	0.60	0.02
474	0.35	0.31	0.01
475	0.60	0.20	0.01
476	0.83	0.91	0.02
477	0.25	0.22	0.02
478	0.22	0.44	0.02
