Results of simulation:
t	Alpha	Beta	Min RMSE
124 	4.34 	4.33 	0.01 	4.32 	0.02 	0.02 	0.00 	0.82 	 0.10 	
125 	4.29 	4.30 	0.00 	4.34 	0.05 	-0.05 	0.00 	0.07 	 0.33 	
126 	4.28 	4.30 	0.00 	4.30 	0.03 	-0.03 	0.00 	0.60 	 0.56 	
127 	4.29 	4.30 	-0.00 	4.30 	0.02 	-0.02 	0.00 	0.49 	 0.39 	
128 	4.29 	4.29 	-0.00 	4.29 	0.00 	-0.00 	0.00 	0.02 	 0.94 	
129 	4.28 	4.29 	-0.00 	4.29 	0.01 	-0.01 	0.00 	0.02 	 0.16 	
130 	4.26 	4.28 	-0.00 	4.28 	0.02 	-0.02 	0.00 	0.35 	 0.00 	
131 	4.26 	4.27 	-0.00 	4.28 	0.02 	-0.02 	0.00 	0.12 	 0.03 	
132 	4.26 	4.27 	-0.00 	4.27 	0.01 	-0.01 	0.00 	0.63 	 0.18 	
133 	4.26 	4.26 	-0.00 	4.26 	0.00 	-0.00 	0.00 	0.62 	 0.03 	
134 	4.27 	4.27 	-0.00 	4.26 	0.01 	0.01 	0.00 	0.60 	 0.86 	
135 	4.25 	4.26 	-0.01 	4.26 	0.01 	-0.01 	0.00 	0.05 	 0.66 	
136 	4.25 	4.25 	-0.01 	4.25 	0.00 	0.00 	0.00 	0.75 	 0.54 	
137 	4.27 	4.26 	0.00 	4.24 	0.03 	0.03 	0.00 	0.91 	 0.70 	
138 	4.24 	4.25 	-0.01 	4.27 	0.02 	-0.02 	0.00 	0.70 	 0.46 	
139 	4.25 	4.25 	-0.00 	4.23 	0.02 	0.02 	0.00 	0.67 	 0.98 	
140 	4.24 	4.24 	-0.01 	4.24 	0.00 	-0.00 	0.00 	0.74 	 0.91 	
141 	4.26 	4.26 	0.01 	4.24 	0.03 	0.03 	0.00 	0.79 	 0.14 	
142 	4.27 	4.27 	0.01 	4.27 	0.00 	-0.00 	0.00 	0.91 	 0.54 	
143 	4.30 	4.30 	0.02 	4.28 	0.02 	0.02 	0.00 	0.47 	 0.05 	
144 	4.29 	4.31 	0.02 	4.32 	0.02 	-0.02 	0.00 	0.02 	 0.33 	
145 	4.28 	4.33 	0.02 	4.33 	0.05 	-0.05 	0.00 	0.69 	 0.29 	
146 	4.29 	4.31 	0.01 	4.35 	0.06 	-0.06 	0.00 	0.81 	 0.23 	
147 	4.29 	4.29 	0.00 	4.32 	0.03 	-0.03 	0.00 	0.67 	 0.38 	
148 	4.30 	4.30 	0.00 	4.30 	0.00 	0.00 	0.00 	0.30 	 0.61 	
149 	4.30 	4.30 	0.00 	4.30 	0.01 	-0.01 	0.00 	0.78 	 0.19 	
150 	4.31 	4.31 	0.00 	4.30 	0.00 	0.00 	0.00 	0.42 	 0.06 	
151 	4.30 	4.30 	0.00 	4.31 	0.01 	-0.01 	0.00 	0.05 	 0.04 	
152 	4.27 	4.31 	0.00 	4.31 	0.03 	-0.03 	0.00 	0.88 	 0.48 	
153 	4.32 	4.32 	0.01 	4.31 	0.01 	0.01 	0.00 	0.79 	 0.41 	
154 	4.36 	4.36 	0.02 	4.33 	0.04 	0.04 	0.00 	0.66 	 0.69 	
155 	4.41 	4.40 	0.04 	4.38 	0.03 	0.03 	0.00 	0.81 	 0.07 	
156 	4.37 	4.39 	0.03 	4.43 	0.06 	-0.06 	0.00 	0.70 	 0.07 	
157 	4.38 	4.39 	0.03 	4.42 	0.03 	-0.03 	0.00 	0.55 	 0.34 	
158 	4.40 	4.41 	0.03 	4.43 	0.03 	-0.03 	0.00 	0.84 	 0.02 	
159 	4.37 	4.38 	0.02 	4.44 	0.06 	-0.06 	0.00 	0.54 	 0.44 	
160 	4.38 	4.39 	0.02 	4.41 	0.03 	-0.03 	0.00 	0.86 	 0.06 	
161 	4.39 	4.40 	0.02 	4.41 	0.02 	-0.02 	0.00 	0.82 	 0.37 	
162 	4.40 	4.40 	0.01 	4.41 	0.01 	-0.01 	0.00 	0.83 	 0.22 	
163 	4.41 	4.41 	0.01 	4.42 	0.01 	-0.01 	0.00 	0.99 	 0.00 	
164 	4.43 	4.43 	0.01 	4.42 	0.01 	0.01 	0.00 	0.85 	 0.10 	
165 	4.43 	4.43 	0.01 	4.44 	0.01 	-0.01 	0.00 	0.85 	 0.27 	
166 	4.42 	4.42 	0.00 	4.44 	0.03 	-0.03 	0.00 	0.67 	 0.03 	
167 	4.43 	4.43 	0.00 	4.43 	0.00 	-0.00 	0.00 	0.86 	 0.12 	
168 	4.41 	4.42 	0.00 	4.43 	0.02 	-0.02 	0.00 	0.86 	 0.11 	
169 	4.41 	4.41 	0.00 	4.42 	0.01 	-0.01 	0.00 	0.48 	 0.16 	
170 	4.37 	4.39 	-0.00 	4.41 	0.04 	-0.04 	0.00 	0.93 	 0.02 	
171 	4.37 	4.37 	-0.00 	4.39 	0.02 	-0.02 	0.00 	0.88 	 0.03 	
172 	4.40 	4.39 	-0.00 	4.37 	0.03 	0.03 	0.00 	0.77 	 0.16 	
173 	4.41 	4.41 	0.00 	4.39 	0.02 	0.02 	0.00 	0.65 	 0.03 	
174 	4.42 	4.41 	0.00 	4.41 	0.01 	0.01 	0.00 	0.61 	 0.55 	
175 	4.44 	4.43 	0.01 	4.41 	0.03 	0.03 	0.00 	0.76 	 0.22 	
176 	4.43 	4.43 	0.01 	4.44 	0.02 	-0.02 	0.00 	0.83 	 0.11 	
177 	4.41 	4.41 	0.01 	4.44 	0.03 	-0.03 	0.00 	0.98 	 0.32 	
178 	4.41 	4.41 	0.00 	4.42 	0.01 	-0.01 	0.00 	0.40 	 0.20 	
179 	4.39 	4.40 	0.00 	4.41 	0.02 	-0.02 	0.00 	0.57 	 0.31 	
180 	4.39 	4.40 	-0.00 	4.40 	0.01 	-0.01 	0.00 	0.60 	 0.28 	
181 	4.39 	4.39 	-0.00 	4.40 	0.01 	-0.01 	0.00 	0.59 	 0.36 	
182 	4.38 	4.39 	-0.00 	4.39 	0.00 	-0.00 	0.00 	0.56 	 0.17 	
183 	4.39 	4.38 	-0.00 	4.38 	0.00 	0.00 	0.00 	0.58 	 0.35 	
184 	4.39 	4.38 	-0.00 	4.38 	0.01 	0.01 	0.00 	0.23 	 0.27 	
185 	4.36 	4.38 	-0.00 	4.38 	0.03 	-0.03 	0.00 	0.85 	 0.01 	
186 	4.35 	4.36 	-0.00 	4.37 	0.02 	-0.02 	0.00 	0.26 	 0.01 	
187 	4.32 	4.34 	-0.00 	4.35 	0.03 	-0.03 	0.00 	0.72 	 0.36 	
188 	4.34 	4.34 	-0.01 	4.34 	0.01 	-0.01 	0.00 	0.79 	 0.57 	
189 	4.38 	4.37 	0.01 	4.33 	0.04 	0.04 	0.00 	0.59 	 0.36 	
190 	4.41 	4.40 	0.02 	4.38 	0.03 	0.03 	0.00 	0.86 	 0.06 	
191 	4.43 	4.43 	0.02 	4.42 	0.01 	0.01 	0.00 	0.74 	 0.47 	
192 	4.43 	4.43 	0.01 	4.45 	0.02 	-0.02 	0.00 	0.63 	 0.04 	
193 	4.43 	4.43 	0.01 	4.45 	0.02 	-0.02 	0.00 	0.78 	 0.31 	
194 	4.42 	4.43 	0.01 	4.45 	0.03 	-0.03 	0.00 	0.49 	 0.08 	
195 	4.39 	4.41 	0.00 	4.43 	0.04 	-0.04 	0.00 	0.77 	 0.25 	
196 	4.40 	4.40 	0.00 	4.42 	0.02 	-0.02 	0.00 	0.48 	 0.17 	
197 	4.37 	4.39 	-0.00 	4.40 	0.03 	-0.03 	0.00 	0.53 	 0.03 	
198 	4.34 	4.36 	-0.00 	4.39 	0.05 	-0.05 	0.00 	0.87 	 0.50 	
199 	4.45 	4.44 	0.04 	4.36 	0.09 	0.09 	0.01 	0.96 	 0.32 	
200 	4.46 	4.46 	0.03 	4.48 	0.01 	-0.01 	0.00 	0.61 	 0.00 	
201 	4.43 	4.45 	0.03 	4.50 	0.07 	-0.07 	0.00 	0.63 	 0.10 	
202 	4.42 	4.45 	0.03 	4.49 	0.07 	-0.07 	0.00 	0.04 	 0.06 	
203 	4.37 	4.47 	0.03 	4.48 	0.10 	-0.10 	0.01 	0.96 	 0.23 	
204 	4.41 	4.41 	0.01 	4.50 	0.09 	-0.09 	0.01 	0.97 	 0.25 	
205 	4.44 	4.44 	0.01 	4.42 	0.01 	0.01 	0.00 	0.78 	 0.33 	
206 	4.44 	4.44 	0.01 	4.45 	0.01 	-0.01 	0.00 	0.87 	 0.16 	
207 	4.44 	4.44 	0.01 	4.45 	0.01 	-0.01 	0.00 	0.61 	 0.07 	
208 	4.43 	4.44 	0.01 	4.45 	0.02 	-0.02 	0.00 	0.78 	 0.07 	
209 	4.41 	4.42 	0.01 	4.44 	0.03 	-0.03 	0.00 	0.83 	 0.25 	
210 	4.43 	4.43 	0.01 	4.43 	0.00 	0.00 	0.00 	0.58 	 0.01 	
211 	4.40 	4.41 	0.01 	4.43 	0.04 	-0.04 	0.00 	0.91 	 0.15 	
212 	4.41 	4.41 	0.00 	4.42 	0.01 	-0.01 	0.00 	0.75 	 0.10 	
213 	4.41 	4.41 	0.00 	4.41 	0.00 	-0.00 	0.00 	0.62 	 0.38 	
214 	4.41 	4.41 	0.00 	4.41 	0.00 	-0.00 	0.00 	0.55 	 0.13 	
215 	4.37 	4.39 	0.00 	4.41 	0.05 	-0.05 	0.00 	0.87 	 0.07 	
216 	4.38 	4.38 	-0.00 	4.39 	0.01 	-0.01 	0.00 	0.91 	 0.10 	
217 	4.37 	4.37 	-0.00 	4.38 	0.01 	-0.01 	0.00 	0.58 	 0.21 	
218 	4.36 	4.36 	-0.00 	4.37 	0.01 	-0.01 	0.00 	0.95 	 0.10 	
219 	4.36 	4.36 	-0.00 	4.36 	0.00 	-0.00 	0.00 	0.46 	 0.18 	
220 	4.36 	4.36 	-0.00 	4.36 	0.01 	0.01 	0.00 	0.63 	 0.06 	
221 	4.36 	4.36 	-0.00 	4.36 	0.00 	0.00 	0.00 	0.96 	 0.08 	
222 	4.37 	4.37 	-0.00 	4.36 	0.01 	0.01 	0.00 	0.67 	 0.05 	
223 	4.36 	4.37 	-0.00 	4.37 	0.00 	-0.00 	0.00 	0.60 	 0.10 	
224 	4.36 	4.36 	-0.00 	4.36 	0.01 	-0.01 	0.00 	0.71 	 0.09 	
225 	4.36 	4.36 	-0.00 	4.36 	0.00 	0.00 	0.00 	0.02 	 0.12 	
226 	4.32 	4.36 	-0.00 	4.36 	0.03 	-0.03 	0.00 	0.96 	 0.19 	
227 	4.28 	4.28 	-0.02 	4.35 	0.07 	-0.07 	0.01 	0.74 	 0.15 	
228 	4.29 	4.28 	-0.01 	4.27 	0.02 	0.02 	0.00 	0.68 	 0.07 	
229 	4.28 	4.28 	-0.01 	4.27 	0.01 	0.01 	0.00 	0.15 	 0.07 	
230 	4.27 	4.26 	-0.01 	4.26 	0.01 	0.01 	0.00 	0.07 	 0.74 	
231 	4.26 	4.25 	-0.01 	4.25 	0.01 	0.01 	0.00 	0.78 	 0.10 	
232 	4.26 	4.26 	-0.01 	4.24 	0.02 	0.02 	0.00 	0.53 	 0.10 	
233 	4.26 	4.26 	-0.01 	4.25 	0.01 	0.01 	0.00 	0.68 	 0.38 	
234 	4.27 	4.26 	-0.00 	4.25 	0.03 	0.03 	0.00 	0.32 	 0.11 	
235 	4.27 	4.26 	-0.00 	4.26 	0.01 	0.01 	0.00 	0.84 	 0.06 	
236 	4.27 	4.27 	-0.00 	4.26 	0.01 	0.01 	0.00 	0.71 	 0.55 	
237 	4.29 	4.28 	0.01 	4.27 	0.02 	0.02 	0.00 	0.67 	 0.37 	
238 	4.29 	4.29 	0.01 	4.29 	0.00 	0.00 	0.00 	0.91 	 0.22 	
239 	4.31 	4.31 	0.01 	4.30 	0.02 	0.02 	0.00 	0.67 	 0.20 	
240 	4.31 	4.31 	0.01 	4.32 	0.01 	-0.01 	0.00 	0.48 	 0.04 	
241 	4.31 	4.32 	0.01 	4.32 	0.01 	-0.01 	0.00 	0.62 	 0.09 	
242 	4.31 	4.31 	0.01 	4.32 	0.02 	-0.02 	0.00 	0.89 	 0.31 	
243 	4.33 	4.33 	0.01 	4.32 	0.01 	0.01 	0.00 	0.76 	 0.19 	
244 	4.33 	4.33 	0.01 	4.34 	0.01 	-0.01 	0.00 	0.95 	 0.03 	
245 	4.34 	4.34 	0.01 	4.34 	0.00 	0.00 	0.00 	0.78 	 0.28 	
246 	4.36 	4.36 	0.01 	4.35 	0.01 	0.01 	0.00 	0.80 	 0.37 	
247 	4.36 	4.36 	0.01 	4.37 	0.00 	-0.00 	0.00 	0.90 	 0.05 	
248 	4.36 	4.36 	0.01 	4.37 	0.01 	-0.01 	0.00 	0.59 	 0.36 	
249 	4.37 	4.37 	0.01 	4.37 	0.00 	-0.00 	0.00 	0.18 	 0.65 	
250 	4.34 	4.37 	0.00 	4.38 	0.03 	-0.03 	0.00 	0.66 	 0.00 	
251 	4.33 	4.35 	0.00 	4.37 	0.04 	-0.04 	0.00 	0.44 	 0.08 	
252 	4.32 	4.34 	0.00 	4.35 	0.03 	-0.03 	0.00 	0.61 	 0.47 	
253 	4.33 	4.33 	-0.00 	4.34 	0.01 	-0.01 	0.00 	0.58 	 0.35 	
254 	4.34 	4.34 	0.00 	4.33 	0.01 	0.01 	0.00 	0.79 	 0.17 	
255 	4.35 	4.35 	0.00 	4.34 	0.01 	0.01 	0.00 	0.90 	 0.17 	
256 	4.35 	4.35 	0.00 	4.35 	0.01 	0.01 	0.00 	0.46 	 0.16 	
257 	4.34 	4.35 	0.00 	4.36 	0.02 	-0.02 	0.00 	0.51 	 0.11 	
258 	4.33 	4.34 	0.00 	4.35 	0.02 	-0.02 	0.00 	0.89 	 0.02 	
259 	4.31 	4.31 	0.00 	4.34 	0.03 	-0.03 	0.00 	0.45 	 0.01 	
260 	4.30 	4.31 	-0.00 	4.31 	0.02 	-0.02 	0.00 	0.77 	 0.20 	
261 	4.30 	4.30 	-0.00 	4.31 	0.00 	-0.00 	0.00 	0.14 	 0.42 	
262 	4.29 	4.30 	-0.00 	4.30 	0.01 	-0.01 	0.00 	0.40 	 0.12 	
263 	4.28 	4.29 	-0.00 	4.30 	0.02 	-0.02 	0.00 	1.00 	 0.12 	
264 	4.30 	4.30 	-0.00 	4.29 	0.01 	0.01 	0.00 	0.63 	 0.08 	
265 	4.30 	4.30 	-0.00 	4.30 	0.00 	-0.00 	0.00 	0.25 	 0.10 	
266 	4.28 	4.29 	-0.00 	4.30 	0.01 	-0.01 	0.00 	0.65 	 0.66 	
267 	4.30 	4.29 	0.00 	4.29 	0.00 	0.00 	0.00 	0.85 	 0.08 	
268 	4.30 	4.30 	0.00 	4.29 	0.01 	0.01 	0.00 	0.56 	 0.01 	
269 	4.30 	4.30 	0.00 	4.30 	0.01 	-0.01 	0.00 	0.56 	 0.16 	
270 	4.30 	4.30 	0.00 	4.30 	0.00 	-0.00 	0.00 	0.74 	 0.03 	
271 	4.31 	4.30 	0.00 	4.30 	0.01 	0.01 	0.00 	0.66 	 0.10 	
272 	4.30 	4.30 	0.00 	4.31 	0.01 	-0.01 	0.00 	0.09 	 0.36 	
273 	4.28 	4.30 	-0.00 	4.30 	0.02 	-0.02 	0.00 	0.82 	 0.01 	
274 	4.28 	4.29 	-0.00 	4.30 	0.02 	-0.02 	0.00 	0.44 	 0.01 	
275 	4.27 	4.28 	-0.00 	4.29 	0.02 	-0.02 	0.00 	0.63 	 0.71 	
276 	4.28 	4.28 	0.00 	4.28 	0.01 	0.01 	0.00 	0.98 	 0.01 	
277 	4.30 	4.30 	0.00 	4.29 	0.01 	0.01 	0.00 	0.53 	 0.20 	
278 	4.29 	4.30 	0.00 	4.30 	0.00 	-0.00 	0.00 	0.83 	 0.25 	
279 	4.31 	4.31 	0.00 	4.30 	0.01 	0.01 	0.00 	0.79 	 0.39 	
280 	4.32 	4.32 	0.01 	4.31 	0.01 	0.01 	0.00 	0.49 	 0.05 	
281 	4.31 	4.32 	0.01 	4.33 	0.01 	-0.01 	0.00 	0.74 	 0.22 	
282 	4.31 	4.32 	0.00 	4.33 	0.02 	-0.02 	0.00 	0.98 	 0.16 	
283 	4.32 	4.32 	0.00 	4.32 	0.00 	-0.00 	0.00 	0.82 	 0.13 	
284 	4.33 	4.33 	0.01 	4.32 	0.01 	0.01 	0.00 	0.78 	 0.03 	
285 	4.32 	4.32 	0.00 	4.33 	0.01 	-0.01 	0.00 	0.86 	 0.19 	
286 	4.32 	4.32 	0.00 	4.33 	0.01 	-0.01 	0.00 	0.53 	 0.21 	
287 	4.33 	4.32 	0.00 	4.32 	0.00 	0.00 	0.00 	0.50 	 0.33 	
288 	4.34 	4.33 	0.01 	4.33 	0.01 	0.01 	0.00 	0.79 	 0.08 	
289 	4.34 	4.34 	0.01 	4.34 	0.00 	0.00 	0.00 	0.07 	 0.48 	
290 	4.31 	4.34 	0.00 	4.34 	0.04 	-0.04 	0.00 	0.44 	 0.24 	
291 	4.30 	4.33 	-0.00 	4.34 	0.04 	-0.04 	0.00 	0.74 	 0.55 	
292 	4.33 	4.33 	-0.00 	4.33 	0.00 	0.00 	0.00 	0.69 	 0.02 	
293 	4.32 	4.32 	-0.00 	4.32 	0.01 	-0.01 	0.00 	0.79 	 0.20 	
294 	4.33 	4.33 	0.00 	4.32 	0.01 	0.01 	0.00 	0.86 	 0.28 	
295 	4.33 	4.33 	0.00 	4.33 	0.00 	0.00 	0.00 	0.78 	 0.16 	
296 	4.33 	4.33 	0.00 	4.33 	0.00 	-0.00 	0.00 	0.89 	 0.20 	
297 	4.34 	4.34 	0.00 	4.33 	0.01 	0.01 	0.00 	0.77 	 0.24 	
298 	4.37 	4.36 	0.01 	4.34 	0.03 	0.03 	0.00 	0.89 	 0.28 	
299 	4.42 	4.42 	0.02 	4.37 	0.05 	0.05 	0.00 	0.77 	 0.09 	
300 	4.42 	4.43 	0.02 	4.44 	0.01 	-0.01 	0.00 	0.83 	 0.08 	
301 	4.41 	4.41 	0.02 	4.44 	0.04 	-0.04 	0.00 	0.85 	 0.77 	
302 	4.45 	4.45 	0.03 	4.43 	0.02 	0.02 	0.00 	0.89 	 0.11 	
303 	4.44 	4.44 	0.03 	4.48 	0.04 	-0.04 	0.00 	0.67 	 0.05 	
304 	4.44 	4.45 	0.03 	4.47 	0.03 	-0.03 	0.00 	0.90 	 0.04 	
305 	4.43 	4.43 	0.02 	4.48 	0.05 	-0.05 	0.00 	0.79 	 0.27 	
306 	4.42 	4.43 	0.02 	4.46 	0.04 	-0.04 	0.00 	0.99 	 0.02 	
307 	4.43 	4.43 	0.02 	4.44 	0.01 	-0.01 	0.00 	0.94 	 0.04 	
308 	4.42 	4.42 	0.01 	4.45 	0.03 	-0.03 	0.00 	0.66 	 0.19 	
309 	4.42 	4.43 	0.01 	4.44 	0.02 	-0.02 	0.00 	0.49 	 0.32 	
310 	4.42 	4.43 	0.01 	4.44 	0.02 	-0.02 	0.00 	0.95 	 0.12 	
311 	4.43 	4.44 	0.01 	4.44 	0.01 	-0.01 	0.00 	0.50 	 0.45 	
312 	4.46 	4.45 	0.01 	4.44 	0.01 	0.01 	0.00 	0.96 	 0.09 	
313 	4.49 	4.49 	0.01 	4.46 	0.03 	0.03 	0.00 	0.60 	 0.34 	
314 	4.48 	4.49 	0.01 	4.50 	0.02 	-0.02 	0.00 	1.00 	 0.13 	
315 	4.50 	4.50 	0.01 	4.50 	0.00 	-0.00 	0.00 	0.96 	 0.09 	
316 	4.46 	4.46 	0.01 	4.51 	0.05 	-0.05 	0.00 	0.51 	 0.22 	
317 	4.43 	4.45 	0.00 	4.47 	0.03 	-0.03 	0.00 	0.58 	 0.33 	
318 	4.44 	4.45 	-0.00 	4.45 	0.01 	-0.01 	0.00 	0.76 	 0.02 	
319 	4.45 	4.45 	-0.00 	4.45 	0.01 	0.01 	0.00 	0.80 	 0.63 	
320 	4.45 	4.45 	0.00 	4.45 	0.00 	0.00 	0.00 	0.50 	 0.17 	
321 	4.43 	4.44 	-0.00 	4.45 	0.03 	-0.03 	0.00 	0.87 	 0.11 	
322 	4.44 	4.44 	-0.00 	4.44 	0.00 	-0.00 	0.00 	0.73 	 0.38 	
323 	4.43 	4.43 	-0.00 	4.43 	0.00 	-0.00 	0.00 	0.59 	 0.20 	
324 	4.42 	4.42 	-0.00 	4.43 	0.01 	-0.01 	0.00 	0.92 	 0.21 	
325 	4.42 	4.42 	-0.00 	4.42 	0.00 	0.00 	0.00 	0.61 	 0.10 	
326 	4.41 	4.41 	-0.00 	4.42 	0.01 	-0.01 	0.00 	0.85 	 0.08 	
327 	4.41 	4.41 	-0.00 	4.41 	0.00 	0.00 	0.00 	0.85 	 0.34 	
328 	4.42 	4.42 	-0.00 	4.41 	0.01 	0.01 	0.00 	0.54 	 0.26 	
329 	4.41 	4.41 	-0.00 	4.42 	0.01 	-0.01 	0.00 	0.62 	 0.02 	
330 	4.40 	4.40 	-0.00 	4.41 	0.01 	-0.01 	0.00 	0.71 	 0.01 	
331 	4.41 	4.40 	-0.00 	4.40 	0.00 	0.00 	0.00 	0.79 	 0.23 	
332 	4.41 	4.41 	-0.00 	4.40 	0.00 	0.00 	0.00 	0.76 	 0.09 	
333 	4.41 	4.40 	-0.00 	4.40 	0.00 	0.00 	0.00 	0.79 	 0.33 	
334 	4.41 	4.41 	0.00 	4.40 	0.01 	0.01 	0.00 	0.81 	 0.29 	
335 	4.39 	4.39 	-0.00 	4.41 	0.02 	-0.02 	0.00 	0.56 	 0.08 	
336 	4.37 	4.38 	-0.01 	4.39 	0.02 	-0.02 	0.00 	0.55 	 0.31 	
337 	4.36 	4.37 	-0.01 	4.37 	0.01 	-0.01 	0.00 	0.35 	 0.42 	
338 	4.36 	4.36 	-0.01 	4.36 	0.00 	-0.00 	0.00 	0.96 	 0.01 	
339 	4.38 	4.38 	-0.01 	4.35 	0.03 	0.03 	0.00 	0.71 	 0.21 	
340 	4.37 	4.37 	-0.01 	4.37 	0.00 	-0.00 	0.00 	0.96 	 0.30 	
341 	4.37 	4.37 	-0.01 	4.37 	0.01 	0.01 	0.00 	0.98 	 0.06 	
342 	4.37 	4.37 	-0.00 	4.37 	0.01 	0.01 	0.00 	0.82 	 0.26 	
343 	4.38 	4.38 	-0.00 	4.37 	0.01 	0.01 	0.00 	0.78 	 0.23 	
344 	4.37 	4.37 	-0.00 	4.38 	0.00 	-0.00 	0.00 	0.72 	 0.26 	
345 	4.36 	4.37 	-0.00 	4.37 	0.01 	-0.01 	0.00 	0.67 	 0.05 	
346 	4.36 	4.36 	-0.00 	4.36 	0.00 	-0.00 	0.00 	0.68 	 0.22 	
347 	4.37 	4.37 	-0.00 	4.36 	0.02 	0.02 	0.00 	0.81 	 0.02 	
348 	4.37 	4.37 	-0.00 	4.37 	0.00 	0.00 	0.00 	0.75 	 0.21 	
349 	4.37 	4.37 	-0.00 	4.37 	0.00 	0.00 	0.00 	0.33 	 0.35 	
350 	4.37 	4.37 	-0.00 	4.37 	0.00 	0.00 	0.00 	0.49 	 0.06 	
351 	4.35 	4.36 	-0.00 	4.37 	0.01 	-0.01 	0.00 	0.87 	 0.15 	
352 	4.35 	4.35 	-0.00 	4.36 	0.02 	-0.02 	0.00 	0.63 	 0.06 	
353 	4.34 	4.34 	-0.00 	4.34 	0.01 	-0.01 	0.00 	0.84 	 0.27 	
354 	4.33 	4.33 	-0.00 	4.33 	0.00 	-0.00 	0.00 	0.75 	 0.08 	
355 	4.32 	4.32 	-0.00 	4.33 	0.01 	-0.01 	0.00 	0.31 	 0.18 	
356 	4.31 	4.31 	-0.01 	4.32 	0.01 	-0.01 	0.00 	0.65 	 0.28 	
357 	4.31 	4.31 	-0.00 	4.31 	0.01 	0.01 	0.00 	0.17 	 0.33 	
358 	4.31 	4.31 	-0.00 	4.31 	0.00 	-0.00 	0.00 	0.59 	 0.14 	
359 	4.30 	4.30 	-0.01 	4.30 	0.01 	-0.01 	0.00 	0.85 	 0.27 	
360 	4.30 	4.30 	-0.00 	4.29 	0.01 	0.01 	0.00 	0.97 	 0.26 	
361 	4.32 	4.32 	0.00 	4.30 	0.01 	0.01 	0.00 	0.95 	 0.14 	
362 	4.32 	4.32 	0.00 	4.32 	0.00 	0.00 	0.00 	0.09 	 0.67 	
363 	4.30 	4.32 	-0.00 	4.32 	0.02 	-0.02 	0.00 	0.97 	 0.16 	
364 	4.31 	4.31 	-0.00 	4.32 	0.00 	-0.00 	0.00 	0.56 	 0.12 	
365 	4.30 	4.31 	-0.00 	4.31 	0.01 	-0.01 	0.00 	0.80 	 0.09 	
366 	4.31 	4.31 	-0.00 	4.31 	0.01 	0.01 	0.00 	0.70 	 0.35 	
367 	4.32 	4.31 	0.00 	4.31 	0.01 	0.01 	0.00 	0.81 	 0.28 	
368 	4.33 	4.33 	0.00 	4.31 	0.02 	0.02 	0.00 	0.45 	 0.10 	
369 	4.32 	4.33 	0.00 	4.33 	0.01 	-0.01 	0.00 	0.02 	 0.76 	
370 	4.30 	4.33 	0.00 	4.33 	0.03 	-0.03 	0.00 	0.45 	 0.26 	
371 	4.30 	4.32 	-0.00 	4.33 	0.03 	-0.03 	0.00 	0.63 	 0.11 	
372 	4.30 	4.31 	-0.00 	4.32 	0.01 	-0.01 	0.00 	0.78 	 0.23 	
373 	4.31 	4.31 	-0.00 	4.31 	0.01 	0.01 	0.00 	0.44 	 0.17 	
374 	4.31 	4.31 	-0.00 	4.31 	0.00 	-0.00 	0.00 	0.54 	 0.26 	
375 	4.31 	4.31 	-0.00 	4.31 	0.01 	-0.01 	0.00 	0.22 	 0.06 	
376 	4.28 	4.30 	-0.00 	4.31 	0.03 	-0.03 	0.00 	0.67 	 0.41 	
377 	4.30 	4.30 	-0.00 	4.30 	0.00 	-0.00 	0.00 	0.63 	 0.09 	
378 	4.30 	4.30 	-0.00 	4.30 	0.01 	0.01 	0.00 	0.74 	 0.12 	
379 	4.31 	4.30 	-0.00 	4.30 	0.01 	0.01 	0.00 	0.46 	 0.43 	
380 	4.30 	4.30 	-0.00 	4.30 	0.00 	0.00 	0.00 	0.98 	 0.10 	
381 	4.31 	4.31 	-0.00 	4.30 	0.01 	0.01 	0.00 	0.79 	 0.27 	
382 	4.33 	4.32 	0.00 	4.31 	0.02 	0.02 	0.00 	0.74 	 0.02 	
383 	4.34 	4.34 	0.00 	4.33 	0.01 	0.01 	0.00 	0.84 	 0.17 	
384 	4.33 	4.33 	0.00 	4.34 	0.01 	-0.01 	0.00 	0.51 	 0.19 	
385 	4.32 	4.33 	0.00 	4.33 	0.02 	-0.02 	0.00 	0.46 	 0.24 	
386 	4.31 	4.32 	-0.00 	4.33 	0.02 	-0.02 	0.00 	0.65 	 0.17 	
387 	4.31 	4.31 	-0.00 	4.32 	0.01 	-0.01 	0.00 	0.09 	 0.06 	
388 	4.28 	4.31 	-0.00 	4.31 	0.03 	-0.03 	0.00 	0.36 	 0.11 	
389 	4.27 	4.29 	-0.00 	4.31 	0.04 	-0.04 	0.00 	0.59 	 0.50 	
390 	4.28 	4.28 	-0.01 	4.29 	0.01 	-0.01 	0.00 	0.70 	 0.19 	
391 	4.28 	4.28 	-0.01 	4.27 	0.00 	0.00 	0.00 	0.55 	 0.01 	
392 	4.27 	4.27 	-0.01 	4.27 	0.01 	-0.01 	0.00 	0.17 	 0.11 	
393 	4.26 	4.26 	-0.01 	4.26 	0.00 	-0.00 	0.00 	0.99 	 0.02 	
394 	4.25 	4.25 	-0.01 	4.26 	0.01 	-0.01 	0.00 	0.63 	 0.91 	
395 	4.24 	4.24 	-0.01 	4.24 	0.00 	-0.00 	0.00 	0.79 	 0.35 	
396 	4.23 	4.23 	-0.01 	4.23 	0.01 	-0.01 	0.00 	0.73 	 0.82 	
