Selected Data: Najwyzszy
t	Yt	Ft	St	Yt*	|Yt-Yt*|	Yt-Yt*	(Yt-Yt*)^2
---------------------------------------------------------------
69 	4.26 	4.25 	-0.00 	4.24 	0.02 	0.02 	0.00 	
70 	4.29 	4.27 	0.01 	4.25 	0.05 	0.05 	0.00 	
71 	4.30 	4.29 	0.01 	4.28 	0.02 	0.02 	0.00 	
72 	4.32 	4.31 	0.02 	4.31 	0.01 	0.01 	0.00 	
73 	4.36 	4.34 	0.02 	4.33 	0.03 	0.03 	0.00 	
74 	4.36 	4.36 	0.02 	4.36 	0.01 	-0.01 	0.00 	
75 	4.37 	4.37 	0.02 	4.38 	0.02 	-0.02 	0.00 	
76 	4.37 	4.38 	0.01 	4.39 	0.02 	-0.02 	0.00 	
77 	4.38 	4.38 	0.01 	4.39 	0.02 	-0.02 	0.00 	
78 	4.36 	4.38 	0.00 	4.39 	0.03 	-0.03 	0.00 	
79 	4.40 	4.39 	0.01 	4.38 	0.01 	0.01 	0.00 	
80 	4.49 	4.44 	0.03 	4.39 	0.10 	0.10 	0.01 	
81 	4.49 	4.48 	0.03 	4.47 	0.02 	0.02 	0.00 	
82 	4.46 	4.49 	0.02 	4.51 	0.05 	-0.05 	0.00 	
83 	4.50 	4.51 	0.02 	4.51 	0.00 	-0.00 	0.00 	
84 	4.51 	4.52 	0.02 	4.53 	0.01 	-0.01 	0.00 	
85 	4.49 	4.51 	0.01 	4.54 	0.04 	-0.04 	0.00 	
86 	4.48 	4.50 	0.00 	4.52 	0.04 	-0.04 	0.00 	
87 	4.50 	4.50 	-0.00 	4.50 	0.00 	-0.00 	0.00 	
88 	4.48 	4.49 	-0.00 	4.50 	0.02 	-0.02 	0.00 	
89 	4.48 	4.49 	-0.00 	4.49 	0.01 	-0.01 	0.00 	
90 	4.46 	4.47 	-0.01 	4.48 	0.02 	-0.02 	0.00 	
91 	4.43 	4.45 	-0.01 	4.46 	0.03 	-0.03 	0.00 	
92 	4.42 	4.43 	-0.02 	4.43 	0.01 	-0.01 	0.00 	
93 	4.43 	4.42 	-0.01 	4.41 	0.02 	0.02 	0.00 	
94 	4.43 	4.42 	-0.01 	4.41 	0.02 	0.02 	0.00 	
95 	4.43 	4.42 	-0.01 	4.41 	0.02 	0.02 	0.00 	
96 	4.46 	4.43 	0.00 	4.41 	0.04 	0.04 	0.00 	
97 	4.47 	4.46 	0.01 	4.44 	0.04 	0.04 	0.00 	
98 	4.45 	4.46 	0.01 	4.47 	0.02 	-0.02 	0.00 	
99 	4.47 	4.47 	0.01 	4.46 	0.00 	0.00 	0.00 	
100 	4.43 	4.45 	-0.00 	4.47 	0.05 	-0.05 	0.00 	
101 	4.41 	4.43 	-0.01 	4.45 	0.04 	-0.04 	0.00 	
102 	4.42 	4.42 	-0.01 	4.42 	0.00 	0.00 	0.00 	
103 	4.42 	4.41 	-0.01 	4.41 	0.01 	0.01 	0.00 	
104 	4.40 	4.40 	-0.01 	4.40 	0.00 	-0.00 	0.00 	
105 	4.40 	4.40 	-0.01 	4.39 	0.00 	0.00 	0.00 	
106 	4.39 	4.39 	-0.01 	4.39 	0.00 	0.00 	0.00 	
107 	4.38 	4.38 	-0.01 	4.38 	0.00 	0.00 	0.00 	
108 	4.39 	4.38 	-0.00 	4.37 	0.01 	0.01 	0.00 	
109 	4.38 	4.38 	-0.00 	4.38 	0.00 	0.00 	0.00 	
